,Unnamed: 0,host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable,pricen
7263,2872,1.0,2,1.0,2.0,1,2,10,1,$120.00,52.3755621521,4.8788078287,Entire home/apt,f,120.0
7264,2873,2.0,2,1.0,1.0,2,3,68,2,$237.00,52.366787055,4.8844150896,Shared room,f,237.0
7265,2874,1.0,2,1.0,1.0,1,2,25,1,$175.00,52.377998650900004,4.8822089654,Entire home/apt,f,175.0
7266,2875,1.0,2,1.0,1.0,1,2,25,1,$150.00,52.3756202689,4.8827545455,Entire home/apt,t,150.0
7267,2876,1.0,5,2.0,2.0,1,5,2,1,$395.00,52.370387372299994,4.8837496813,Entire home/apt,f,395.0
7268,2877,1.0,4,2.5,2.0,1,4,10,1,$195.00,52.371560861599995,4.8867534692,Entire home/apt,f,195.0
7269,2878,1.0,2,1.5,1.0,1,2,43,1,$85.00,52.3831061634,4.8858519097,Private room,f,85.0
7270,2879,1.0,2,1.0,0.0,1,2,17,1,$99.00,52.3757302988,4.8786965704,Entire home/apt,f,99.0
7271,288,1.0,4,1.0,4.0,2,3,0,1,$110.00,52.4061097976,4.932035383500001,Entire home/apt,f,110.0
7272,2880,3.0,2,1.5,1.0,1,1,399,3,$99.00,52.369500638299996,4.89555971,Private room,t,99.0
7273,2881,1.0,2,1.0,1.0,1,1,4,1,$100.00,52.367628235299996,4.8827626722,Entire home/apt,f,100.0
